Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID74,6.4,8.2,6.0,4.8,5.12,4.43,3.23,5.57,4.78,5.7,4.9,4.6,4.9,4.8,4.4,4.7,60.8,True
ID75,6.6,3.9,3.6,9.2,6.87,4.87,3.73,4.5,4.72,3.9,4.1,3.3,3.5,2.7,9.9,5.6,71.5,True
ID76,8.2,4.3,5.4,9.5,7.69,4.61,3.02,6.04,5.97,4.6,5.2,4.5,5.5,5.7,6.5,4.3,48.8,True
ID77,7.5,4.4,5.5,9.1,5.88,6.27,5.04,6.83,6.21,5.6,5.4,5.7,4.3,5.5,7.1,5.6,48.4,True
ID78,8.2,5.2,6.1,7.5,7.26,5.34,4.51,5.58,6.57,4.7,5.3,4.5,4.5,5.4,7.8,7.0,92.4,True
ID79,7.2,4.7,5.4,7.8,6.05,5.53,3.74,4.6,5.41,4.1,4.1,3.6,3.9,5.6,7.4,4.9,67.9,True
ID80,7.3,8.2,4.0,3.7,7.11,5.36,5.47,7.56,6.42,5.2,5.8,5.0,4.4,6.9,3.3,9.1,53.3,True
ID81,8.2,7.5,2.3,6.5,5.4,6.56,5.71,8.16,6.59,5.8,6.1,6.2,6.2,7.1,5.1,7.7,78.2,True
ID82,6.5,5.3,3.4,4.2,6.08,5.25,4.0,4.07,4.18,5.2,4.2,4.3,5.7,5.5,7.7,7.2,100.0,True
ID83,8.7,5.7,3.2,5.9,5.86,5.84,3.17,5.73,6.52,4.2,5.1,4.0,4.2,7.2,6.5,9.1,71.6,True
ID84,7.9,3.4,5.6,7.3,7.09,5.35,4.82,5.41,7.55,4.7,5.6,4.5,4.6,4.8,6.3,6.8,45.9,True
ID85,7.9,4.4,6.2,5.9,7.3,5.1,4.42,5.5,4.99,3.7,5.6,4.0,4.1,2.4,6.2,6.8,46.5,True
ID86,6.8,9.2,4.7,3.6,5.9,6.61,4.25,6.12,4.76,3.7,6.2,4.2,4.3,6.3,6.1,7.8,75.2,True
ID87,9.0,6.6,4.7,6.6,5.27,6.22,5.31,7.16,4.61,3.0,6.0,6.1,5.7,6.6,4.9,7.1,79.7,True
ID88,9.0,4.8,4.3,6.2,5.89,6.49,2.65,4.63,3.87,4.3,4.7,5.4,4.9,5.1,7.3,7.6,71.6,True
